latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.814,143.275,334.2,1.1,1.1,2019-12-18,00:35,T,74,6.0NRT,311.7,13.4,D
-15.816,143.286,349.1,1.1,1.1,2019-12-18,00:35,T,93,6.0NRT,311.3,44.7,D
-15.819,143.243,372.3,1.1,1.1,2019-12-18,00:35,T,100,6.0NRT,310,123.5,D
-15.821,143.253,366.1,1.1,1.1,2019-12-18,00:35,T,100,6.0NRT,311.9,97.9,D
-15.822,143.263,340.3,1.1,1.1,2019-12-18,00:35,T,85,6.0NRT,312.9,25.5,D
-15.824,143.274,337.2,1.1,1.1,2019-12-18,00:35,T,81,6.0NRT,311.8,19.5,D
-15.832,143.262,372.4,1.1,1.1,2019-12-18,00:35,T,100,6.0NRT,312.2,121.5,D
-15.833,143.272,354.5,1.1,1.1,2019-12-18,00:35,T,96,6.0NRT,311.2,60,D
-16.004,143.554,325,1.1,1,2019-12-18,00:35,T,53,6.0NRT,306.9,8.4,D
-16.038,143.466,328.4,1.1,1,2019-12-18,00:35,T,56,6.0NRT,307.2,10.1,D
-16.04,143.476,328,1.1,1,2019-12-18,00:35,T,40,6.0NRT,306.7,8.5,D
-16.044,143.506,340.1,1.1,1,2019-12-18,00:35,T,85,6.0NRT,309.1,28.5,D
-16.047,143.465,337.1,1.1,1,2019-12-18,00:35,T,81,6.0NRT,305.1,24.4,D
-16.054,143.505,330.3,1.1,1,2019-12-18,00:35,T,34,6.0NRT,307.7,13,D
-16.02,143.254,338.3,1.1,1,2019-12-18,00:35,T,81,6.0NRT,307.3,22.2,D
-16.057,143.487,328.5,1.1,1,2019-12-18,00:35,T,66,6.0NRT,305.2,13.4,D
-16.059,143.497,331.1,1.1,1,2019-12-18,00:35,T,72,6.0NRT,307.9,17.6,D
-15.785,141.754,332.5,1.3,1.1,2019-12-18,00:35,T,72,6.0NRT,309.1,20.7,D
-16.028,143.242,360.4,1.1,1,2019-12-18,00:35,T,100,6.0NRT,308.6,78.3,D
-16.029,143.252,333.2,1.1,1,2019-12-18,00:35,T,48,6.0NRT,308,14.1,D
-16.037,143.24,335.3,1.1,1,2019-12-18,00:35,T,72,6.0NRT,307.2,20.6,D
-16.105,143.085,337.1,1.1,1.1,2019-12-18,00:35,T,81,6.0NRT,305.5,26.2,D
-16.106,143.096,347.7,1.1,1.1,2019-12-18,00:35,T,91,6.0NRT,307.2,49,D
-16.108,143.106,324.2,1.1,1.1,2019-12-18,00:35,T,24,6.0NRT,303.6,7.3,D
-16.031,142.501,333.2,1.2,1.1,2019-12-18,00:35,T,65,6.0NRT,309.3,14.2,D
-16.039,142.488,334.4,1.2,1.1,2019-12-18,00:35,T,70,6.0NRT,311.3,14.2,D
-16.042,142.51,332.7,1.2,1.1,2019-12-18,00:35,T,47,6.0NRT,311,12.7,D
-16.038,142.419,330.3,1.2,1.1,2019-12-18,00:35,T,50,6.0NRT,308.2,12.5,D
-16.077,142.539,334.6,1.2,1.1,2019-12-18,00:35,T,65,6.0NRT,309.4,17,D
-16.087,142.537,335,1.2,1.1,2019-12-18,00:35,T,61,6.0NRT,309.6,17,D
-16.083,142.44,342.7,1.2,1.1,2019-12-18,00:35,T,85,6.0NRT,309,35.2,D
-16.085,142.451,348.2,1.2,1.1,2019-12-18,00:35,T,91,6.0NRT,310.9,46.9,D
-16.087,142.462,333.2,1.2,1.1,2019-12-18,00:35,T,54,6.0NRT,310.9,12.3,D
-17.317,142.864,332.8,1.1,1.1,2019-12-18,00:35,T,54,6.0NRT,309.7,12.2,D
-17.317,142.8,333.6,1.1,1.1,2019-12-18,00:35,T,53,6.0NRT,308.5,14.8,D
-17.318,142.81,340.8,1.1,1.1,2019-12-18,00:35,T,83,6.0NRT,309.5,27.2,D
-17.326,142.798,347.7,1.1,1.1,2019-12-18,00:35,T,90,6.0NRT,309.8,43.9,D
-17.328,142.809,347.4,1.1,1.1,2019-12-18,00:35,T,90,6.0NRT,311.4,42.5,D
-17.368,143.068,362.8,1.1,1,2019-12-18,00:35,T,100,6.0NRT,312,84.6,D
-17.37,143.078,389.4,1.1,1,2019-12-18,00:35,T,100,6.0NRT,314.2,198.8,D
-17.371,143.088,336.2,1.1,1,2019-12-18,00:35,T,64,6.0NRT,310.2,18.3,D
-17.33,142.792,338.8,1.1,1.1,2019-12-18,00:35,T,80,6.0NRT,309.1,25.2,D
-17.332,142.802,346.8,1.1,1.1,2019-12-18,00:35,T,89,6.0NRT,312.2,42.8,D
-17.371,143.05,357.4,1.1,1,2019-12-18,00:35,T,98,6.0NRT,309.5,68.4,D
-17.373,143.061,372.5,1.1,1,2019-12-18,00:35,T,100,6.0NRT,314,117.9,D
-17.375,143.071,382.2,1.1,1,2019-12-18,00:35,T,100,6.0NRT,316.1,159,D
-17.376,143.081,365.2,1.1,1,2019-12-18,00:35,T,100,6.0NRT,314.4,88.8,D
-17.635,144.761,345.3,1,1,2019-12-18,00:35,T,89,6.0NRT,312.7,30.8,D
-17.637,144.771,348,1,1,2019-12-18,00:35,T,90,6.0NRT,314.2,33.5,D
