latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.351,130.255,329.7,2.1,1.4,2019-11-26,01:15,T,41,6.0NRT,304.3,35.7,D
-13.354,130.274,330.4,2.1,1.4,2019-11-26,01:15,T,57,6.0NRT,305.4,38.6,D
-14.156,135.106,338.7,1,1,2019-11-26,01:15,T,41,6.0NRT,313.8,15.3,D
-14.157,135.116,346.4,1,1,2019-11-26,01:15,T,88,6.0NRT,310,31.2,D
-13.363,130.253,330.6,2.1,1.4,2019-11-26,01:15,T,49,6.0NRT,304.7,38.5,D
-13.152,135.831,334.7,1,1,2019-11-26,01:15,T,73,6.0NRT,309.9,15,D
-13.175,135.799,335.1,1,1,2019-11-26,01:15,T,68,6.0NRT,309.5,16.7,D
-13.176,135.808,332.6,1,1,2019-11-26,01:15,T,55,6.0NRT,309.6,12.9,D
-13.177,135.751,340.4,1,1,2019-11-26,01:15,T,82,6.0NRT,309.5,24.5,D
-13.187,135.759,344.1,1,1,2019-11-26,01:15,T,87,6.0NRT,310,31.4,D
-20.247,139.697,339.8,1.5,1.2,2019-11-26,01:15,T,79,6.0NRT,308.2,47.9,D
-20.245,139.683,335.9,1.5,1.2,2019-11-26,01:15,T,57,6.0NRT,311.4,34,D
-20.236,139.699,363.3,1.5,1.2,2019-11-26,01:15,T,100,6.0NRT,307.7,149,D
-20.234,139.684,356.6,1.5,1.2,2019-11-26,01:15,T,97,6.0NRT,310.2,113,D
-20.232,139.669,341.7,1.5,1.2,2019-11-26,01:15,T,82,6.0NRT,311.1,49.8,D
-12.402,136.667,337,1,1,2019-11-26,01:15,T,82,6.0NRT,310.9,14.6,D
-12.401,136.723,335.2,1,1,2019-11-26,01:15,T,50,6.0NRT,310.5,13.3,D
-12.192,136.189,314.8,1,1,2019-11-26,01:15,T,62,6.0NRT,303.1,7.9,D
-12.262,136.84,330.6,1,1,2019-11-26,01:15,T,68,6.0NRT,307.8,13.6,D
-12.261,136.831,336.8,1,1,2019-11-26,01:15,T,81,6.0NRT,305.8,21,D
-11.363,131.176,322.8,2,1.4,2019-11-26,01:15,T,58,6.0NRT,298.2,25.3,D
-12.694,141.92,322,1.7,1.3,2019-11-26,01:15,T,40,6.0NRT,299.3,18,D
