latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.506,130.248,327.1,2.8,1.6,2019-12-05,01:05,T,25,6.0NRT,304.7,54.2,D
-11.192,132.674,316.6,2,1.4,2019-12-05,01:05,T,55,6.0NRT,301.3,25.5,D
-12.685,142.366,332.9,1.4,1.2,2019-12-05,01:05,T,83,6.0NRT,294.1,34,D
-12.687,142.38,327.6,1.5,1.2,2019-12-05,01:05,T,71,6.0NRT,295.5,23.4,D
-12.696,142.365,324.3,1.4,1.2,2019-12-05,01:05,T,65,6.0NRT,293.3,18,D
-12.677,141.975,320.7,1.4,1.2,2019-12-05,01:05,T,66,6.0NRT,295.6,11.3,D
-11.707,135.164,317,1.3,1.1,2019-12-05,01:05,T,32,6.0NRT,305.1,12.7,D
-11.704,135.158,317.2,1.3,1.1,2019-12-05,01:05,T,41,6.0NRT,306.3,13.5,D
-12.155,136.464,360.4,1.1,1,2019-12-05,01:05,T,100,6.0NRT,312.6,80.8,D
-12.156,136.474,341.9,1.1,1,2019-12-05,01:05,T,91,6.0NRT,310.9,33.5,D
-12.21,136.531,336.3,1.1,1,2019-12-05,01:05,T,79,6.0NRT,312.7,19.7,D
-12.328,136.865,339.1,1.1,1,2019-12-05,01:05,T,83,6.0NRT,308.9,26.1,D
-12.329,136.874,335,1.1,1,2019-12-05,01:05,T,77,6.0NRT,307.7,18.9,D
-12.337,136.863,336.2,1.1,1,2019-12-05,01:05,T,71,6.0NRT,311,19.4,D
-12.338,136.873,333.4,1.1,1,2019-12-05,01:05,T,62,6.0NRT,310.6,15.2,D
-12.338,136.767,358.5,1.1,1,2019-12-05,01:05,T,99,6.0NRT,316.5,68.4,D
-12.34,136.777,351.6,1.1,1,2019-12-05,01:05,T,94,6.0NRT,313.7,49.3,D
-12.598,136.658,355.6,1.1,1,2019-12-05,01:05,T,91,6.0NRT,318.7,57.8,D
-12.6,136.668,355,1.1,1,2019-12-05,01:05,T,84,6.0NRT,316.3,58.6,D
-12.607,136.656,336.9,1.1,1,2019-12-05,01:05,T,58,6.0NRT,315.7,19.2,D
-12.612,136.625,336.2,1.1,1,2019-12-05,01:05,T,61,6.0NRT,316.9,14.5,D
-12.296,134.432,333.3,1.4,1.2,2019-12-05,01:05,T,60,6.0NRT,315.3,18,D
-12.298,134.445,340.7,1.4,1.2,2019-12-05,01:05,T,84,6.0NRT,314.8,39.3,D
-12.205,132.827,331.5,1.9,1.3,2019-12-05,01:05,T,41,6.0NRT,310.4,30.9,D
-12.208,132.844,331.5,1.9,1.3,2019-12-05,01:05,T,51,6.0NRT,310.4,29.8,D
-12.9,136.45,333.6,1.1,1,2019-12-05,01:05,T,49,6.0NRT,318,11.5,D
-12.929,136.516,337.5,1.1,1,2019-12-05,01:05,T,78,6.0NRT,316,19.9,D
-12.69,134.59,338.6,1.4,1.2,2019-12-05,01:05,T,58,6.0NRT,314.8,29,D
-12.692,134.603,368.7,1.4,1.2,2019-12-05,01:05,T,100,6.0NRT,316.7,141.8,D
-12.694,134.615,359.9,1.4,1.2,2019-12-05,01:05,T,99,6.0NRT,314.1,100.4,D
-12.696,134.628,371.6,1.4,1.2,2019-12-05,01:05,T,100,6.0NRT,314.5,158.5,D
-12.706,134.626,340.6,1.4,1.2,2019-12-05,01:05,T,57,6.0NRT,315.2,33.1,D
-12.974,136.268,344.7,1.1,1,2019-12-05,01:05,T,87,6.0NRT,315.3,33.6,D
-12.983,136.267,347.4,1.1,1,2019-12-05,01:05,T,90,6.0NRT,315.6,39.5,D
-12.739,134.652,338.5,1.4,1.2,2019-12-05,01:05,T,21,6.0NRT,311.2,28.1,D
-12.749,134.65,355.4,1.4,1.2,2019-12-05,01:05,T,97,6.0NRT,315.7,80.3,D
-12.759,134.649,365.8,1.4,1.2,2019-12-05,01:05,T,100,6.0NRT,315.7,123.3,D
-12.778,134.633,343.7,1.4,1.2,2019-12-05,01:05,T,87,6.0NRT,314.8,40.5,D
-12.788,134.631,379.9,1.4,1.2,2019-12-05,01:05,T,100,6.0NRT,318.3,204.6,D
-12.79,134.644,338.8,1.4,1.2,2019-12-05,01:05,T,82,6.0NRT,315.4,29.2,D
-12.799,134.63,353.2,1.4,1.2,2019-12-05,01:05,T,95,6.0NRT,316.7,75.6,D
-12.436,131.639,324.3,2.3,1.5,2019-12-05,01:05,T,12,6.0NRT,288.4,35.3,D
-12.44,131.66,325.4,2.3,1.5,2019-12-05,01:05,T,46,6.0NRT,289.1,41.8,D
-13.324,135.681,378.1,1.2,1.1,2019-12-05,01:05,T,100,6.0NRT,317.2,153.9,D
-13.325,135.692,381.9,1.2,1.1,2019-12-05,01:05,T,100,6.0NRT,315.3,173.9,D
-13.327,135.703,360.7,1.2,1.1,2019-12-05,01:05,T,100,6.0NRT,312.4,84.1,D
-13.338,135.712,346,1.2,1.1,2019-12-05,01:05,T,88,6.0NRT,311.7,42.9,D
-13.345,135.689,339.3,1.2,1.1,2019-12-05,01:05,T,69,6.0NRT,315.6,21,D
-13.346,135.7,344,1.2,1.1,2019-12-05,01:05,T,86,6.0NRT,315.4,33.1,D
-13.348,135.71,348.2,1.2,1.1,2019-12-05,01:05,T,90,6.0NRT,313.2,46,D
-13.382,135.655,364.8,1.2,1.1,2019-12-05,01:05,T,100,6.0NRT,316,95.2,D
-13.384,135.666,378.7,1.2,1.1,2019-12-05,01:05,T,100,6.0NRT,315,155.7,D
-13.389,135.697,353.9,1.2,1.1,2019-12-05,01:05,T,95,6.0NRT,317.1,59.2,D
