latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.682,145.207,329.7,2.6,1.6,2019-12-31,00:05,T,79,6.0NRT,301.6,70.9,D
-19.845,144.559,332.4,2.5,1.5,2019-12-31,00:05,T,61,6.0NRT,308.1,56.9,D
-19.616,144.545,334.9,2.5,1.5,2019-12-31,00:05,T,80,6.0NRT,304.8,74.2,D
-19.611,144.521,330.7,2.5,1.5,2019-12-31,00:05,T,64,6.0NRT,307,48.8,D
-18.418,145.197,320.6,2.4,1.5,2019-12-31,00:05,T,15,6.0NRT,299,26.8,D
-18.401,145.3,318.7,2.4,1.5,2019-12-31,00:05,T,30,6.0NRT,296,27.3,D
-18.062,144.779,330.8,2.6,1.6,2019-12-31,00:05,T,81,6.0NRT,305.9,60.4,D
-18.058,144.786,330.8,2.6,1.6,2019-12-31,00:05,T,76,6.0NRT,306.3,62.7,D
-16.998,144.361,322.7,3,1.6,2019-12-31,00:05,T,71,6.0NRT,301.8,36.3,D
-35.259,150.361,333,1.1,1,2019-12-31,00:10,T,50,6.0NRT,309.7,10.9,D
-34.226,150.03,402.7,1,1,2019-12-31,00:10,T,100,6.0NRT,320,263.9,D
-34.258,150.269,363,1.1,1,2019-12-31,00:10,T,100,6.0NRT,314.1,80.5,D
-34.259,150.28,335.4,1.1,1,2019-12-31,00:10,T,67,6.0NRT,314.1,16.8,D
-34.262,150.303,335.4,1.1,1,2019-12-31,00:10,T,75,6.0NRT,311.7,18.3,D
-34.267,150.338,341.2,1.1,1,2019-12-31,00:10,T,62,6.0NRT,314,26.8,D
-34.269,150.35,371.3,1.1,1,2019-12-31,00:10,T,100,6.0NRT,313.7,109.1,D
-34.27,150.361,407.6,1.1,1,2019-12-31,00:10,T,100,6.0NRT,317.8,305.5,D
-34.272,150.373,404.1,1.1,1,2019-12-31,00:10,T,100,6.0NRT,314.6,279.3,D
-34.224,149.948,344.8,1,1,2019-12-31,00:10,T,89,6.0NRT,309.8,38.1,D
-34.225,149.96,354.9,1,1,2019-12-31,00:10,T,97,6.0NRT,311.5,59.4,D
-34.232,150.005,345.7,1,1,2019-12-31,00:10,T,90,6.0NRT,311.5,37.1,D
-34.233,150.016,347.7,1,1,2019-12-31,00:10,T,92,6.0NRT,313.9,40.4,D
-34.235,150.028,386.6,1,1,2019-12-31,00:10,T,100,6.0NRT,320,170.7,D
-34.236,150.039,383.2,1,1,2019-12-31,00:10,T,100,6.0NRT,316.7,156.4,D
-34.266,150.256,370.1,1.1,1,2019-12-31,00:10,T,100,6.0NRT,315,105.2,D
-34.267,150.267,360.9,1.1,1,2019-12-31,00:10,T,100,6.0NRT,315.1,74.1,D
-34.275,150.325,342,1.1,1,2019-12-31,00:10,T,87,6.0NRT,311.7,30.5,D
-34.277,150.337,354.4,1.1,1,2019-12-31,00:10,T,96,6.0NRT,312.3,58.8,D
-34.278,150.349,339.9,1.1,1,2019-12-31,00:10,T,75,6.0NRT,310.2,26,D
-34.28,150.36,407.7,1.1,1,2019-12-31,00:10,T,100,6.0NRT,321.3,306.9,D
-34.281,150.371,380.5,1.1,1,2019-12-31,00:10,T,100,6.0NRT,316.6,145.2,D
-34.232,149.953,337,1,1,2019-12-31,00:10,T,82,6.0NRT,310.6,24.3,D
-34.233,149.964,326.8,1,1,2019-12-31,00:10,T,24,6.0NRT,310.2,8.8,D
-34.239,150.009,348.7,1,1,2019-12-31,00:10,T,92,6.0NRT,312.9,44.4,D
-34.241,150.02,366.7,1,1,2019-12-31,00:10,T,100,6.0NRT,317.3,92.9,D
-34.242,150.032,373.8,1,1,2019-12-31,00:10,T,100,6.0NRT,317.1,120.1,D
-34.244,150.044,349,1,1,2019-12-31,00:10,T,93,6.0NRT,310.7,46.1,D
-34.245,150.055,336.7,1,1,2019-12-31,00:10,T,79,6.0NRT,309.7,22.8,D
-34.262,150.18,333,1.1,1,2019-12-31,00:10,T,76,6.0NRT,313.8,15.6,D
-34.263,150.192,336.5,1.1,1,2019-12-31,00:10,T,81,6.0NRT,313.5,20.4,D
-34.271,150.249,341.3,1.1,1,2019-12-31,00:10,T,86,6.0NRT,312.4,26.9,D
-34.272,150.26,365.7,1.1,1,2019-12-31,00:10,T,100,6.0NRT,315.3,87.8,D
-34.282,150.329,327.2,1.1,1,2019-12-31,00:10,T,51,6.0NRT,310.6,9.2,D
-34.283,150.341,349.1,1.1,1,2019-12-31,00:10,T,93,6.0NRT,311.5,47.3,D
-34.285,150.353,357.3,1.1,1,2019-12-31,00:10,T,98,6.0NRT,311.1,66.8,D
-34.286,150.364,403.8,1.1,1,2019-12-31,00:10,T,100,6.0NRT,320,283,D
-34.288,150.376,331.1,1.1,1,2019-12-31,00:10,T,36,6.0NRT,310.2,12.8,D
