latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-16.431,136.195,335.6,1.2,1.1,2019-11-28,01:00,T,71,6.0NRT,311.9,17.3,D
-16.386,141.761,340.4,1.2,1.1,2019-11-28,01:00,T,88,6.0NRT,310.8,30.4,D
-16.398,141.85,338,1.2,1.1,2019-11-28,01:00,T,86,6.0NRT,310.1,28,D
-16.406,141.838,369.3,1.2,1.1,2019-11-28,01:00,T,100,6.0NRT,310.2,124,D
-16.406,141.758,336.5,1.2,1.1,2019-11-28,01:00,T,85,6.0NRT,311.4,21.8,D
-15.772,135.49,334.3,1.4,1.2,2019-11-28,01:00,T,62,6.0NRT,310.5,16.7,D
-15.827,135.008,337.5,1.4,1.2,2019-11-28,01:00,T,55,6.0NRT,310.8,19.7,D
-15.343,131.918,333,2.5,1.5,2019-11-28,01:00,T,49,6.0NRT,293.1,78.5,D
-15.336,131.912,336.6,2.5,1.5,2019-11-28,01:00,T,78,6.0NRT,290.4,99,D
-16.24,137.047,339,1.1,1,2019-11-28,01:00,T,78,6.0NRT,311.8,14.4,D
-16.245,137.077,345.3,1.1,1,2019-11-28,01:00,T,86,6.0NRT,306.8,33.3,D
-16.247,137.087,398.4,1.1,1,2019-11-28,01:00,T,100,6.0NRT,312.5,253.7,D
-16.248,137.098,345.9,1.1,1,2019-11-28,01:00,T,88,6.0NRT,307.9,36.9,D
-16.255,137.076,336.5,1.1,1,2019-11-28,01:00,T,60,6.0NRT,310.1,15.8,D
-16.256,137.086,340.1,1.1,1,2019-11-28,01:00,T,80,6.0NRT,308.6,25.6,D
-16.266,137.084,374.6,1.1,1,2019-11-28,01:00,T,100,6.0NRT,308.8,127.2,D
-16.267,137.095,360.6,1.1,1,2019-11-28,01:00,T,100,6.0NRT,305.6,77,D
-16.284,137.081,330.7,1.1,1,2019-11-28,01:00,T,47,6.0NRT,306.2,11.5,D
-16.404,136.211,335.3,1.2,1.1,2019-11-28,01:00,T,70,6.0NRT,307.4,16.8,D
-16.412,136.198,360.1,1.2,1.1,2019-11-28,01:00,T,100,6.0NRT,310.4,83.3,D
-16.413,136.21,356,1.2,1.1,2019-11-28,01:00,T,97,6.0NRT,312,68.7,D
-16.415,136.221,337.5,1.2,1.1,2019-11-28,01:00,T,71,6.0NRT,310.9,20.1,D
-16.417,136.232,344.1,1.2,1.1,2019-11-28,01:00,T,86,6.0NRT,309.8,33.5,D
-16.419,136.243,341.8,1.2,1.1,2019-11-28,01:00,T,82,6.0NRT,310.4,28.2,D
-16.421,136.197,339.6,1.2,1.1,2019-11-28,01:00,T,79,6.0NRT,311.5,25.8,D
-16.463,136.195,361.8,1.2,1.1,2019-11-28,01:00,T,100,6.0NRT,310.9,89.7,D
-16.465,136.206,366.5,1.2,1.1,2019-11-28,01:00,T,100,6.0NRT,312.6,107,D
-16.466,136.217,338,1.2,1.1,2019-11-28,01:00,T,76,6.0NRT,311.1,21,D
-16.473,136.193,342.4,1.2,1.1,2019-11-28,01:00,T,83,6.0NRT,311.8,32.2,D
-16.474,136.204,337.7,1.2,1.1,2019-11-28,01:00,T,76,6.0NRT,313.9,21.3,D
-16.498,136.223,344.2,1.2,1.1,2019-11-28,01:00,T,86,6.0NRT,309.7,34,D
-16.507,136.221,335.1,1.2,1.1,2019-11-28,01:00,T,68,6.0NRT,310.1,15.3,D
-16.517,136.22,333.9,1.2,1.1,2019-11-28,01:00,T,66,6.0NRT,310.3,14,D
-16.595,136.314,348.6,1.2,1.1,2019-11-28,01:00,T,90,6.0NRT,310.9,43.1,D
-16.596,136.325,347.2,1.2,1.1,2019-11-28,01:00,T,89,6.0NRT,311,40.3,D
-16.604,136.313,336.1,1.2,1.1,2019-11-28,01:00,T,72,6.0NRT,311.8,16.7,D
-16.612,136.3,342.1,1.2,1.1,2019-11-28,01:00,T,83,6.0NRT,310.6,27.8,D
-16.624,136.309,338.3,1.2,1.1,2019-11-28,01:00,T,77,6.0NRT,312.3,21.1,D
-16.635,136.319,333,1.2,1.1,2019-11-28,01:00,T,62,6.0NRT,310.8,11.5,D
-16.836,137.436,332.8,1.1,1,2019-11-28,01:00,T,60,6.0NRT,307.9,13.6,D
-17.106,138.785,333.4,1,1,2019-11-28,01:00,T,58,6.0NRT,308.5,19.3,D
-17.768,138.285,344.1,1,1,2019-11-28,01:00,T,85,6.0NRT,310.8,25.8,D
-17.769,138.295,342.4,1,1,2019-11-28,01:00,T,83,6.0NRT,312.8,22.8,D
-17.832,138.037,334.3,1,1,2019-11-28,01:00,T,59,6.0NRT,312.2,10.1,D
-19.302,142.659,334.9,1.5,1.2,2019-11-28,01:00,T,79,6.0NRT,308.5,25,D
-11.613,142.568,321.8,1.2,1.1,2019-11-28,01:00,T,41,6.0NRT,302.6,12.7,D
-11.614,142.579,319.1,1.2,1.1,2019-11-28,01:00,T,47,6.0NRT,301.3,10.3,D
-11.629,142.469,325.8,1.2,1.1,2019-11-28,01:00,T,68,6.0NRT,302.7,16.6,D
-11.641,142.554,351.7,1.2,1.1,2019-11-28,01:00,T,96,6.0NRT,309.7,66.3,D
