latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.075,145.538,321.1,1,1,2020-01-03,00:35,T,54,6.0NRT,275.7,16.3,D
-16.035,145.124,315.8,1,1,2020-01-03,00:35,T,53,6.0NRT,272.2,11.5,D
-16.034,145.115,313.3,1,1,2020-01-03,00:35,T,39,6.0NRT,274.9,9.8,D
-14.697,143.019,323.3,1.2,1.1,2020-01-03,00:35,T,45,6.0NRT,298.3,10.4,D
-14.766,143.515,350.9,1.1,1.1,2020-01-03,00:35,T,95,6.0NRT,303.7,59.3,D
-14.764,143.504,357.4,1.1,1.1,2020-01-03,00:35,T,98,6.0NRT,304.6,78.2,D
-14.68,143.033,329.5,1.2,1.1,2020-01-03,00:35,T,52,6.0NRT,301.8,16.9,D
-14.678,143.023,330.7,1.2,1.1,2020-01-03,00:35,T,66,6.0NRT,300.8,19.4,D
-14.672,143.046,333.2,1.2,1.1,2020-01-03,00:35,T,81,6.0NRT,302.1,24.7,D
-14.664,143.058,327,1.2,1.1,2020-01-03,00:35,T,27,6.0NRT,300.9,13.6,D
-14.662,143.048,339.4,1.2,1.1,2020-01-03,00:35,T,87,6.0NRT,302.9,36.8,D
-14.66,143.054,335.8,1.2,1.1,2020-01-03,00:35,T,83,6.0NRT,302.3,29.7,D
-14.606,143.085,331.4,1.2,1.1,2020-01-03,00:35,T,51,6.0NRT,304.9,17.6,D
-14.604,143.075,344.4,1.2,1.1,2020-01-03,00:35,T,90,6.0NRT,306,44,D
-13.202,143.159,327.5,1.2,1.1,2020-01-03,00:35,T,69,6.0NRT,299.6,17.4,D
-12.777,142.348,324.1,1.4,1.2,2020-01-03,00:35,T,26,6.0NRT,299.5,12,D
-12.769,142.362,324.9,1.4,1.2,2020-01-03,00:35,T,27,6.0NRT,301,13.4,D
-12.767,142.349,324.6,1.4,1.2,2020-01-03,00:35,T,44,6.0NRT,298.3,13.2,D
-32.732,150.091,331,2.7,1.6,2020-01-03,00:40,T,72,6.0NRT,301.7,82.7,D
-33.959,142.192,346.5,1,1,2020-01-03,00:40,T,60,6.0NRT,327.5,26.5,D
-33.965,142.185,357.1,1,1,2020-01-03,00:40,T,97,6.0NRT,327.4,52,D
-37.104,147.004,323.7,1.9,1.3,2020-01-03,00:40,T,39,6.0NRT,297.5,43.1,D
-35.744,136.696,334,1.2,1.1,2020-01-03,00:40,T,61,6.0NRT,310.8,16.8,D
-35.749,136.666,350.4,1.2,1.1,2020-01-03,00:40,T,67,6.0NRT,311.3,65,D
-35.751,136.68,370.3,1.2,1.1,2020-01-03,00:40,T,87,6.0NRT,317.8,134.4,D
-35.753,136.693,334.4,1.2,1.1,2020-01-03,00:40,T,53,6.0NRT,312.8,19.2,D
-35.77,136.788,335.3,1.2,1.1,2020-01-03,00:40,T,81,6.0NRT,314,21.5,D
-35.758,136.663,394.4,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,320.7,284.6,D
-35.761,136.677,359.8,1.2,1.1,2020-01-03,00:40,T,99,6.0NRT,314.8,92.4,D
-35.78,136.786,336.1,1.2,1.1,2020-01-03,00:40,T,83,6.0NRT,310.9,23.4,D
-35.766,136.647,341.9,1.2,1.1,2020-01-03,00:40,T,89,6.0NRT,305.8,48.8,D
-35.768,136.66,375.2,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,317.6,165.9,D
-35.771,136.674,419.8,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,322.6,516.3,D
-35.767,136.654,364.6,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,312.8,116.1,D
-35.769,136.668,393.1,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,323.7,270.4,D
-35.771,136.682,368.4,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,310.1,123.8,D
-35.776,136.651,374.3,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,316,161,D
-35.779,136.665,456.3,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,334.8,1071.3,D
-35.781,136.679,397.2,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,310.3,296.8,D
-35.784,136.635,343.4,1.2,1.1,2020-01-03,00:40,T,86,6.0NRT,305.6,47.7,D
-35.786,136.649,375.7,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,316.3,167.9,D
-35.789,136.663,469.1,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,337.2,1339.8,D
-35.791,136.676,374.5,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,307.5,153.4,D
-35.799,136.718,390.6,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,318.1,245.8,D
-35.801,136.731,392.8,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,319.9,260.2,D
-35.794,136.632,378,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,308.6,182,D
-35.796,136.646,403.3,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,321.6,356.4,D
-35.799,136.66,467.8,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,333.8,1309.3,D
-35.801,136.674,354.8,1.2,1.1,2020-01-03,00:40,T,97,6.0NRT,306.3,70.3,D
-35.801,136.616,336.7,1.2,1.1,2020-01-03,00:40,T,88,6.0NRT,302.5,32.9,D
-35.804,136.63,366.1,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,304.9,122.5,D
-35.806,136.644,408.7,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,322.1,402.9,D
-35.809,136.658,467.1,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,334.4,1294.3,D
-35.811,136.671,339.5,1.2,1.1,2020-01-03,00:40,T,90,6.0NRT,304.3,26.3,D
-35.814,136.685,331.1,1.2,1.1,2020-01-03,00:40,T,46,6.0NRT,302.3,9.2,D
-37.19,147.094,327.1,1.9,1.4,2020-01-03,00:40,T,79,6.0NRT,297.9,58.4,D
-37.263,147.987,329.7,2.2,1.4,2020-01-03,00:40,T,83,6.0NRT,298.1,79,D
-35.809,136.6,334.8,1.3,1.1,2020-01-03,00:40,T,69,6.0NRT,301.4,25.7,D
-35.811,136.613,339,1.2,1.1,2020-01-03,00:40,T,89,6.0NRT,303.3,34.6,D
-35.814,136.627,362,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,305.6,104.9,D
-35.816,136.641,419.7,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,326.1,517.7,D
-35.819,136.655,472.8,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,333.1,1425.4,D
-35.821,136.669,345.1,1.2,1.1,2020-01-03,00:40,T,87,6.0NRT,303,40.6,D
-37.272,147.934,322.3,2.2,1.4,2020-01-03,00:40,T,25,6.0NRT,297.5,49.3,D
-37.274,147.958,339.1,2.2,1.4,2020-01-03,00:40,T,89,6.0NRT,298.4,118.6,D
-35.819,136.597,328.3,1.3,1.1,2020-01-03,00:40,T,33,6.0NRT,303.2,13.8,D
-35.821,136.611,339.5,1.2,1.1,2020-01-03,00:40,T,89,6.0NRT,303.9,35.2,D
-35.824,136.625,377.7,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,306.9,176.2,D
-35.826,136.639,419.8,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,327,519,D
-35.829,136.652,500,1.2,1.1,2020-01-03,00:40,T,100,6.0NRT,339.2,2183.2,D
-35.831,136.666,352.2,1.2,1.1,2020-01-03,00:40,T,91,6.0NRT,302.1,62,D
