latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-11.536,142.574,324.8,1.1,1.1,2019-12-09,00:40,T,58,6.0NRT,298.3,15.3,D
-12.876,143.489,328.8,1,1,2019-12-09,00:40,T,29,6.0NRT,304,12.3,D
-13.043,143.191,327.6,1,1,2019-12-09,00:40,T,73,6.0NRT,296.4,19.8,D
-13.176,142.202,326.1,1.1,1.1,2019-12-09,00:40,T,62,6.0NRT,302.3,10.3,D
-13.177,142.212,323.9,1.1,1.1,2019-12-09,00:40,T,36,6.0NRT,303.5,6.2,D
-12.355,136.49,327.9,2.9,1.6,2019-12-09,00:40,T,76,6.0NRT,292.1,87.1,D
-12.356,136.483,322.9,2.9,1.6,2019-12-09,00:40,T,64,6.0NRT,292.4,58.2,D
-13.468,142.489,333.2,1.1,1,2019-12-09,00:40,T,69,6.0NRT,308.2,19.4,D
-13.478,142.426,336.4,1.1,1,2019-12-09,00:40,T,83,6.0NRT,303.8,26.3,D
-13.479,142.436,345.3,1.1,1,2019-12-09,00:40,T,91,6.0NRT,305.2,43.4,D
-13.499,142.04,350.3,1.1,1.1,2019-12-09,00:40,T,94,6.0NRT,307.8,56.7,D
-13.501,142.05,349.3,1.1,1.1,2019-12-09,00:40,T,94,6.0NRT,308.8,52.7,D
-13.509,142.038,338.6,1.1,1.1,2019-12-09,00:40,T,85,6.0NRT,307.2,29,D
-13.511,142.049,340,1.1,1.1,2019-12-09,00:40,T,87,6.0NRT,308.3,30.1,D
-13.573,142.071,331.5,1.1,1.1,2019-12-09,00:40,T,57,6.0NRT,307,17.3,D
-13.528,142.035,340.6,1.1,1.1,2019-12-09,00:40,T,87,6.0NRT,310,33.6,D
-13.526,142.025,359.7,1.1,1.1,2019-12-09,00:40,T,99,6.0NRT,309.4,85.3,D
-13.518,142.037,334.6,1.1,1.1,2019-12-09,00:40,T,70,6.0NRT,309.1,21.8,D
-14.621,141.952,346.3,1.1,1.1,2019-12-09,00:45,T,90,6.0NRT,312.6,37.3,D
-14.615,141.911,334,1.1,1.1,2019-12-09,00:45,T,66,6.0NRT,312,11.8,D
-14.613,141.901,338.8,1.1,1.1,2019-12-09,00:45,T,83,6.0NRT,312.5,21.3,D
-14.606,141.976,339,1.1,1.1,2019-12-09,00:45,T,81,6.0NRT,311.7,26,D
-13.487,135.55,345.7,3.2,1.7,2019-12-09,00:45,T,91,6.0NRT,300,214.8,D
-13.481,135.52,326.6,3.2,1.7,2019-12-09,00:45,T,66,6.0NRT,299.8,57.2,D
-13.472,135.553,324.6,3.2,1.7,2019-12-09,00:45,T,45,6.0NRT,299.8,42.7,D
-14.566,141.908,347.1,1.1,1.1,2019-12-09,00:45,T,91,6.0NRT,313.1,39.8,D
-14.562,141.915,337.1,1.1,1.1,2019-12-09,00:45,T,70,6.0NRT,313.2,17.3,D
-14.557,141.884,337.1,1.1,1.1,2019-12-09,00:45,T,81,6.0NRT,308,23.7,D
-14.551,141.906,336.6,1.1,1.1,2019-12-09,00:45,T,74,6.0NRT,311,20.3,D
-14.549,141.896,338.7,1.1,1.1,2019-12-09,00:45,T,83,6.0NRT,310.6,26.7,D
-13.49,135.556,341,3.2,1.7,2019-12-09,00:45,T,88,6.0NRT,299.6,169.9,D
-13.485,135.525,336.8,3.2,1.7,2019-12-09,00:45,T,84,6.0NRT,299.4,135.3,D
-13.475,135.558,326.5,3.2,1.7,2019-12-09,00:45,T,55,6.0NRT,299.7,53.4,D
-13.469,135.528,326.3,3.2,1.7,2019-12-09,00:45,T,63,6.0NRT,300.2,54.2,D
-15.001,145.033,324.8,1,1,2019-12-09,00:45,T,47,6.0NRT,299.2,14.4,D
-13.439,135.534,325,3.2,1.7,2019-12-09,00:45,T,44,6.0NRT,300.3,45.3,D
-14.942,145.012,335.9,1,1,2019-12-09,00:45,T,83,6.0NRT,301.4,30.2,D
-14.762,143.839,328.8,1,1,2019-12-09,00:45,T,53,6.0NRT,307.5,11.8,D
-14.901,145.112,359.4,1,1,2019-12-09,00:45,T,99,6.0NRT,307.6,74.2,D
-14.9,145.103,340.1,1,1,2019-12-09,00:45,T,77,6.0NRT,305.5,30.4,D
-14.396,143.488,332.3,1,1,2019-12-09,00:45,T,32,6.0NRT,310.9,14.3,D
-14.387,143.49,342.8,1,1,2019-12-09,00:45,T,89,6.0NRT,310.8,32,D
-14.378,143.491,334.7,1,1,2019-12-09,00:45,T,76,6.0NRT,307.2,19,D
-14.377,143.482,343.1,1,1,2019-12-09,00:45,T,89,6.0NRT,308.9,33.7,D
-12.774,134.691,328.3,3.9,1.8,2019-12-09,00:45,T,76,6.0NRT,299.7,89.5,D
-12.768,134.698,327,3.9,1.8,2019-12-09,00:45,T,66,6.0NRT,300.1,78,D
-12.732,134.594,325,3.9,1.8,2019-12-09,00:45,T,31,6.0NRT,300.1,48.9,D
-15.527,142.445,334.1,1.1,1,2019-12-09,00:45,T,51,6.0NRT,314.5,10.1,D
-15.505,142.418,344.8,1.1,1,2019-12-09,00:45,T,88,6.0NRT,312.8,29.7,D
-15.497,142.43,333.7,1.1,1,2019-12-09,00:45,T,51,6.0NRT,312.2,10.9,D
-15.495,142.42,332.5,1.1,1,2019-12-09,00:45,T,56,6.0NRT,312.3,9.6,D
-15.43,143.195,342.1,1,1,2019-12-09,00:45,T,77,6.0NRT,314.3,24.4,D
-15.031,142.632,333.9,1,1,2019-12-09,00:45,T,46,6.0NRT,309.4,15.1,D
-15.03,142.622,348.1,1,1,2019-12-09,00:45,T,91,6.0NRT,311.4,41.5,D
-15.243,144.103,340.7,1,1,2019-12-09,00:45,T,85,6.0NRT,311.7,23.4,D
-15.024,142.643,334.8,1,1,2019-12-09,00:45,T,59,6.0NRT,310,17.3,D
-15.232,144.095,347.2,1,1,2019-12-09,00:45,T,92,6.0NRT,314.1,35.4,D
-15.231,144.086,338.4,1,1,2019-12-09,00:45,T,84,6.0NRT,314.5,19.5,D
-15.223,144.096,333,1,1,2019-12-09,00:45,T,67,6.0NRT,312.7,12.9,D
-15.222,144.087,337.6,1,1,2019-12-09,00:45,T,83,6.0NRT,314.4,19.7,D
-14.964,142.563,328.1,1.1,1,2019-12-09,00:45,T,39,6.0NRT,309.1,12.6,D
-14.967,142.642,335.9,1,1,2019-12-09,00:45,T,62,6.0NRT,310.2,19.7,D
-14.624,141.91,332.9,1.1,1.1,2019-12-09,00:45,T,72,6.0NRT,311.8,10.9,D
-14.623,141.899,335.5,1.1,1.1,2019-12-09,00:45,T,79,6.0NRT,312.8,16.1,D
-14.623,141.963,343.1,1.1,1.1,2019-12-09,00:45,T,88,6.0NRT,311.3,31.5,D
-15.478,144.644,335.7,1,1,2019-12-09,00:45,T,76,6.0NRT,309,18.1,D
