latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.968,149.473,328.4,1.2,1.1,2019-12-24,00:00,T,56,6.0NRT,304.9,12.6,D
-24.966,149.461,335.5,1.2,1.1,2019-12-24,00:00,T,76,6.0NRT,304.5,24.8,D
-14.9,143.962,332.8,4.6,2,2019-12-24,00:00,T,85,6.0NRT,293.6,218.1,D
-14.881,143.958,315.5,4.6,2,2019-12-24,00:00,T,51,6.0NRT,293.1,50.4,D
-14.899,143.954,334.1,4.6,2,2019-12-24,00:00,T,86,6.0NRT,293.4,234.7,D
-15.63,143.574,323.8,4.7,2,2019-12-24,00:00,T,73,6.0NRT,298.8,127.5,D
-15.629,143.568,325.2,4.7,2,2019-12-24,00:00,T,78,6.0NRT,298.5,145,D
-16.093,143.968,317.8,4.3,1.9,2019-12-24,00:00,T,32,6.0NRT,302,48.4,D
-16.103,144.002,317.8,4.3,1.9,2019-12-24,00:00,T,35,6.0NRT,301.1,50.2,D
-17.276,142.995,324.2,4.8,2,2019-12-24,00:00,T,61,6.0NRT,302,89.6,D
-17.273,142.988,325.2,4.8,2,2019-12-24,00:00,T,64,6.0NRT,302,100.2,D
-17.591,143.739,320.3,4.2,1.9,2019-12-24,00:00,T,39,6.0NRT,303.1,49.4,D
-17.6,143.696,320.4,4.2,1.9,2019-12-24,00:00,T,37,6.0NRT,302.6,47,D
-17.594,143.73,322,4.2,1.9,2019-12-24,00:00,T,58,6.0NRT,303.7,62.1,D
-17.636,143.68,320.6,4.2,1.9,2019-12-24,00:00,T,54,6.0NRT,303.3,50.1,D
-17.999,145.507,326.1,3,1.7,2019-12-24,00:00,T,55,6.0NRT,299.2,72.1,D
-19.804,143.473,322,3.9,1.8,2019-12-24,00:00,T,47,6.0NRT,303.7,55,D
-19.806,143.314,324.7,4,1.9,2019-12-24,00:00,T,67,6.0NRT,303.8,68.9,D
-19.81,143.307,321.8,4,1.9,2019-12-24,00:00,T,55,6.0NRT,303.1,46.8,D
-21.156,148.122,324.6,1.7,1.3,2019-12-24,00:00,T,65,6.0NRT,304.7,21.5,D
-23.036,149.952,330.9,1.2,1.1,2019-12-24,00:00,T,47,6.0NRT,306.3,12,D
-24.583,151.53,326.1,1,1,2019-12-24,00:00,T,48,6.0NRT,299.2,17.9,D
-24.938,149.424,343.7,1.2,1.1,2019-12-24,00:00,T,87,6.0NRT,305.6,43.4,D
-24.94,149.436,340.3,1.2,1.1,2019-12-24,00:00,T,83,6.0NRT,304.6,34.8,D
-24.942,149.448,340.7,1.2,1.1,2019-12-24,00:00,T,83,6.0NRT,305.1,35.9,D
-24.952,149.446,356.8,1.2,1.1,2019-12-24,00:00,T,97,6.0NRT,304.7,78.7,D
-24.966,149.468,338,1.2,1.1,2019-12-24,00:00,T,79,6.0NRT,305,28.9,D
-33.615,150.276,327,1,1,2019-12-24,00:05,T,64,6.0NRT,296.3,18.2,D
-33.639,150.315,326.4,1,1,2019-12-24,00:05,T,60,6.0NRT,294.9,17.4,D
-33.754,150.035,327.3,1,1,2019-12-24,00:05,T,57,6.0NRT,298.2,20.8,D
-33.756,150.046,339.9,1,1,2019-12-24,00:05,T,87,6.0NRT,296.7,37.6,D
-33.763,150.033,321.3,1,1,2019-12-24,00:05,T,59,6.0NRT,294,15,D
-33.766,150.055,322,1,1,2019-12-24,00:05,T,22,6.0NRT,295.3,14.6,D
-33.774,150.108,334.1,1,1,2019-12-24,00:05,T,82,6.0NRT,296.4,28.8,D
-33.776,150.119,347.6,1,1,2019-12-24,00:05,T,93,6.0NRT,297.6,52,D
-33.777,150.063,319.8,1,1,2019-12-24,00:05,T,31,6.0NRT,294.7,12.9,D
-33.783,150.106,319.4,1,1,2019-12-24,00:05,T,53,6.0NRT,292.7,12.6,D
-33.823,150.12,325.8,1,1,2019-12-24,00:05,T,52,6.0NRT,296.2,16.1,D
-33.824,150.131,324.4,1,1,2019-12-24,00:05,T,41,6.0NRT,295.3,13.9,D
-33.855,150.03,346.7,1,1,2019-12-24,00:05,T,92,6.0NRT,294.6,50.6,D
-33.856,150.041,346.8,1,1,2019-12-24,00:05,T,92,6.0NRT,294.9,51.7,D
-33.863,150.084,321.5,1,1,2019-12-24,00:05,T,59,6.0NRT,291.6,14.8,D
-26.13,146.55,345.9,1.7,1.3,2019-12-24,00:05,T,89,6.0NRT,310.6,70.4,D
-33.864,150.095,331.8,1,1,2019-12-24,00:05,T,80,6.0NRT,294.6,26.2,D
-33.882,150.091,328.9,1,1,2019-12-24,00:05,T,77,6.0NRT,291.7,22.8,D
-34.186,149.969,338.3,1,1,2019-12-24,00:05,T,86,6.0NRT,299.1,34.6,D
-34.198,149.988,323.4,1,1,2019-12-24,00:05,T,43,6.0NRT,295.8,15.2,D
-34.2,149.999,324.1,1,1,2019-12-24,00:05,T,65,6.0NRT,295.7,16.7,D
-34.202,150.01,318,1,1,2019-12-24,00:05,T,14,6.0NRT,295.8,10.2,D
-34.305,150.402,347.8,1,1,2019-12-24,00:05,T,88,6.0NRT,293.9,49.3,D
-34.281,150.172,320.2,1,1,2019-12-24,00:05,T,57,6.0NRT,295.4,10.7,D
-37.218,148.501,314.3,1,1,2019-12-24,00:05,T,11,6.0NRT,296.8,7.8,D
-37.229,148.451,317.3,1,1,2019-12-24,00:05,T,53,6.0NRT,298.4,8.9,D
-37.252,148.54,319.4,1,1,2019-12-24,00:05,T,36,6.0NRT,290.4,13.2,D
-37.263,148.549,331,1,1,2019-12-24,00:05,T,42,6.0NRT,292,25.9,D
-37.323,148.459,311.1,1,1,2019-12-24,00:05,T,65,6.0NRT,291.8,8.9,D
-37.324,148.47,315.9,1,1,2019-12-24,00:05,T,72,6.0NRT,291.5,13.2,D
-37.344,148.246,320,1,1,2019-12-24,00:05,T,54,6.0NRT,302.8,11.4,D
-37.365,147.613,331.9,1,1,2019-12-24,00:05,T,85,6.0NRT,292,30.3,D
-37.366,147.564,324.5,1,1,2019-12-24,00:05,T,46,6.0NRT,292.4,21,D
-37.376,147.562,340.4,1,1,2019-12-24,00:05,T,84,6.0NRT,291.8,43,D
-37.387,147.571,327.2,1,1,2019-12-24,00:05,T,58,6.0NRT,291.3,22.3,D
-37.422,147.731,329.9,1,1,2019-12-24,00:05,T,79,6.0NRT,294.2,26.2,D
-37.403,147.555,310.9,1,1,2019-12-24,00:05,T,38,6.0NRT,289.4,9.1,D
-37.497,147.982,308.7,1,1,2019-12-24,00:05,T,42,6.0NRT,295.3,5.6,D
-37.475,147.783,325,1,1,2019-12-24,00:05,T,51,6.0NRT,296.7,17.1,D
-37.514,147.907,340.2,1,1,2019-12-24,00:05,T,56,6.0NRT,293.5,38.7,D
-37.523,147.904,345.4,1,1,2019-12-24,00:05,T,79,6.0NRT,296.6,46,D
-37.524,147.916,337.2,1,1,2019-12-24,00:05,T,56,6.0NRT,291.9,32.5,D
-37.526,147.927,333.5,1,1,2019-12-24,00:05,T,59,6.0NRT,291.3,28.5,D
-37.528,147.939,326.6,1,1,2019-12-24,00:05,T,75,6.0NRT,293.3,20.9,D
-37.489,147.635,323.9,1,1,2019-12-24,00:05,T,68,6.0NRT,291.2,18.8,D
-37.532,147.902,342.4,1,1,2019-12-24,00:05,T,91,6.0NRT,297,41.8,D
-37.537,147.936,322.7,1,1,2019-12-24,00:05,T,75,6.0NRT,294.2,16.6,D
-37.5,147.644,326.3,1,1,2019-12-24,00:05,T,61,6.0NRT,292.4,20.2,D
-37.511,147.653,393.4,1,1,2019-12-24,00:05,T,100,6.0NRT,305.2,219.8,D
-37.513,147.665,362.4,1,1,2019-12-24,00:05,T,100,6.0NRT,299.8,90,D
-37.517,147.646,344.4,1,1,2019-12-24,00:05,T,93,6.0NRT,292.9,49.1,D
-37.519,147.658,380.2,1,1,2019-12-24,00:05,T,100,6.0NRT,304.4,157.7,D
-37.521,147.669,323,1,1,2019-12-24,00:05,T,60,6.0NRT,296,16.3,D
-37.527,147.705,322.6,1,1,2019-12-24,00:05,T,65,6.0NRT,292,15.7,D
-37.563,147.936,328,1,1,2019-12-24,00:05,T,41,6.0NRT,294.6,20.5,D
-37.528,147.655,370.6,1,1,2019-12-24,00:05,T,100,6.0NRT,295.7,119.9,D
-37.53,147.667,386.4,1,1,2019-12-24,00:05,T,100,6.0NRT,300.5,185.4,D
-37.532,147.679,333.7,1,1,2019-12-24,00:05,T,68,6.0NRT,294.6,29,D
-37.534,147.691,329,1,1,2019-12-24,00:05,T,53,6.0NRT,292.7,22.3,D
-37.548,147.723,336.7,1,1,2019-12-24,00:05,T,63,6.0NRT,293.8,31.8,D
-37.541,147.556,325.8,1,1,2019-12-24,00:05,T,61,6.0NRT,291.4,22.3,D
-37.55,147.553,321.4,1,1,2019-12-24,00:05,T,45,6.0NRT,291.4,17.2,D
-37.609,147.924,324.8,1,1,2019-12-24,00:05,T,40,6.0NRT,293,15.8,D
-37.559,147.551,337.4,1,1,2019-12-24,00:05,T,59,6.0NRT,293.5,36.7,D
-37.579,147.679,331.4,1,1,2019-12-24,00:05,T,74,6.0NRT,296.6,26.8,D
-37.585,147.714,324.8,1,1,2019-12-24,00:05,T,43,6.0NRT,295.9,18,D
-37.589,147.737,338.2,1,1,2019-12-24,00:05,T,90,6.0NRT,295.4,35.3,D
-37.59,147.749,322.4,1,1,2019-12-24,00:05,T,32,6.0NRT,293.2,13.4,D
-37.57,147.56,340.6,1,1,2019-12-24,00:05,T,87,6.0NRT,293.1,42.1,D
-37.577,147.606,337.7,1,1,2019-12-24,00:05,T,89,6.0NRT,294.9,39.2,D
-37.579,147.618,311.2,1,1,2019-12-24,00:05,T,45,6.0NRT,292.2,7.7,D
-37.583,147.641,327.4,1,1,2019-12-24,00:05,T,65,6.0NRT,293.5,21.2,D
-37.585,147.653,392.4,1,1,2019-12-24,00:05,T,100,6.0NRT,306,215.7,D
-37.587,147.665,333.9,1,1,2019-12-24,00:05,T,77,6.0NRT,299.7,29.1,D
