latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.586,135.025,336.3,1.3,1.1,2019-12-21,01:05,T,52,6.0NRT,311.4,30,D
-12.861,136.624,312.1,1.1,1,2019-12-21,01:05,T,53,6.0NRT,301.6,7.2,D
-12.322,132.825,333.2,1.9,1.3,2019-12-21,01:05,T,79,6.0NRT,301.3,48.5,D
-12.325,132.842,326.3,1.9,1.3,2019-12-21,01:05,T,46,6.0NRT,301,25.9,D
-12.334,132.823,366.9,1.9,1.3,2019-12-21,01:05,T,100,6.0NRT,301,228.5,D
-12.337,132.84,346.4,1.9,1.3,2019-12-21,01:05,T,91,6.0NRT,302.4,99.9,D
-12.34,132.857,325.4,1.8,1.3,2019-12-21,01:05,T,45,6.0NRT,299.3,23.2,D
-12.327,132.818,355,1.9,1.3,2019-12-21,01:05,T,91,6.0NRT,301,147.7,D
-12.33,132.834,349.4,1.9,1.3,2019-12-21,01:05,T,93,6.0NRT,302.1,115,D
-12.333,132.851,328.7,1.8,1.3,2019-12-21,01:05,T,71,6.0NRT,300.9,32.3,D
-12.342,132.832,327.9,1.9,1.3,2019-12-21,01:05,T,31,6.0NRT,302.2,26.9,D
-12.344,132.849,331.5,1.8,1.3,2019-12-21,01:05,T,67,6.0NRT,300.6,38,D
-12.316,132.228,321.5,2.1,1.4,2019-12-21,01:05,T,26,6.0NRT,298.1,21.8,D
-12.404,132.056,327,2.1,1.4,2019-12-21,01:05,T,66,6.0NRT,301.5,45.8,D
-12.403,132.049,326.8,2.1,1.4,2019-12-21,01:05,T,68,6.0NRT,301.3,46.9,D
-13.348,135.434,331.5,1.2,1.1,2019-12-21,01:05,T,71,6.0NRT,306.2,15.7,D
-13.646,136.934,312.3,1,1,2019-12-21,01:05,T,29,6.0NRT,299.4,6.5,D
-13.471,135.374,347.3,1.2,1.1,2019-12-21,01:05,T,91,6.0NRT,305.6,51.7,D
-13.479,135.429,334.8,1.2,1.1,2019-12-21,01:05,T,73,6.0NRT,307.5,22.5,D
-14.714,143.676,322.3,1.9,1.4,2019-12-21,01:05,T,41,6.0NRT,295,26.9,D
-13.342,133.565,337.7,1.6,1.2,2019-12-21,01:05,T,83,6.0NRT,301.1,47,D
-13.384,133.543,338.1,1.6,1.2,2019-12-21,01:05,T,84,6.0NRT,300.3,48.6,D
-13.386,133.558,327.1,1.6,1.2,2019-12-21,01:05,T,62,6.0NRT,300.5,18.7,D
-13.384,133.537,325.4,1.6,1.2,2019-12-21,01:05,T,35,6.0NRT,300.1,15.6,D
-13.386,133.551,337.1,1.6,1.2,2019-12-21,01:05,T,82,6.0NRT,300.5,45.1,D
-13.397,133.549,331.8,1.6,1.2,2019-12-21,01:05,T,75,6.0NRT,301,32.1,D
-13.409,133.547,325.2,1.6,1.2,2019-12-21,01:05,T,58,6.0NRT,297.5,17.8,D
